point_group,order,max_rotation_order,confidence,tolerance_used,method,conformer_index,smiles,name,expected,has_reference,detected,match,validation_status,assembly_index
O,117,117,0.97,0.5,pymatgen,3,C,methane,Td,True,O,False,MISMATCH,
D3d,12,6,0.97,0.5,pymatgen,0,CC,ethane,D3d,True,D3d,True,VALID,0.0
D6h,24,12,0.97,0.5,pymatgen,0,c1ccccc1,benzene,D6h,True,D6h,True,VALID,3.0
C3v,6,3,0.89,0.5,pymatgen,0,C(F)(F)F,fluoroform,C3v,True,C3v,True,VALID,2.0
C3v,6,3,0.89,0.5,pymatgen,0,C(Cl)(Cl)Cl,chloroform,C3v,True,C3v,True,VALID,2.0
D3h,12,6,0.97,0.5,pymatgen,0,C1CC1,cyclopropane,D3h,True,D3h,True,VALID,2.0
D2d,8,4,0.97,0.5,pymatgen,0,C1CCC1,cyclobutane,D4h,True,D2d,False,MISMATCH,2.0
D2,2,2,0.73,0.5,pymatgen,0,C1CCCC1,cyclopentane,D5h,True,D2,False,MISMATCH,3.0
D3d,12,6,0.97,0.5,pymatgen,3,C1CCCCC1,cyclohexane,D6h,True,D3d,False,MISMATCH,3.0
C2v,4,2,0.81,0.5,pymatgen,0,O,water,C2v,True,C2v,True,VALID,
Cs,2,1,0.73,0.5,pymatgen,0,O=C(O)c1ccccc1,benzoic acid,Cs,False,,,NO_REFERENCE,6.0
Cs,2,1,0.73,0.5,pymatgen,0,c1ccc(O)cc1,phenol,Cs,False,,,NO_REFERENCE,4.0
C2v,4,2,0.81,0.5,pymatgen,0,c1ccc(Cl)cc1,chlorobenzene,Cs,False,,,NO_REFERENCE,4.0
D2,4,4,0.81,0.5,pymatgen,0,c1ccccc1c2ccccc2,biphenyl,D2h,False,,,NO_REFERENCE,5.0
C2,2,2,0.73,0.5,pymatgen,0,c1ccc(O)c(O)c1,catechol,C2v,False,,,NO_REFERENCE,5.0
C2v,4,2,0.81,0.5,pymatgen,0,c1cc(Cl)cc(Cl)c1,"1,3,5-trichlorobenzene",D3h,False,,,NO_REFERENCE,4.0
C3v,6,3,0.89,0.5,pymatgen,0,CC(C)C,isobutane,Cs,False,,,NO_REFERENCE,2.0
C2h,4,2,0.81,0.5,pymatgen,0,CCCC,butane,C2,False,,,NO_REFERENCE,2.0
C2v,4,2,0.81,0.5,pymatgen,0,CCC,propane,C2v,False,,,NO_REFERENCE,1.0
C1,1,1,0.6900000000000001,0.5,pymatgen,0,CC(C)CC,2-methylbutane,C1,False,,,NO_REFERENCE,2.0
Td,24,12,0.97,0.5,pymatgen,0,CC(C)(C)C,neopentane,Td,False,,,NO_REFERENCE,2.0
C2v,4,2,0.81,0.5,pymatgen,0,CC(=O)C,acetone,C2v,False,,,NO_REFERENCE,2.0
Cs,2,1,0.73,0.5,pymatgen,0,c1ccccc1C=O,benzaldehyde,Cs,False,,,NO_REFERENCE,5.0
Cs,2,1,0.73,0.5,pymatgen,0,CC(=O)c1ccccc1,acetophenone,Cs,False,,,NO_REFERENCE,6.0
C2,2,2,0.73,0.5,pymatgen,0,O=C(c1ccccc1)c2ccccc2,benzophenone,D2h,False,,,NO_REFERENCE,6.0
C2,2,2,0.73,0.5,pymatgen,0,c1ccccc1Oc2ccccc2,diphenyl ether,D2h,False,,,NO_REFERENCE,5.0
D2h,8,4,0.97,0.5,pymatgen,0,c1cc2ccccc2cc1,naphthalene,D2h,False,,,NO_REFERENCE,5.0
C2v,4,2,0.81,0.5,pymatgen,0,c1ccc2c(c1)ccc3c2cccc3,anthracene,D2h,False,,,NO_REFERENCE,6.0
C2v,4,2,0.81,0.5,pymatgen,0,c1cnccc1,pyridine,Cs,False,,,NO_REFERENCE,4.0
C2v,4,2,0.81,0.5,pymatgen,0,c1ccoc1,furan,C2v,False,,,NO_REFERENCE,3.0
C2v,4,2,0.81,0.5,pymatgen,0,c1ccncc1,pyrazine,D2h,False,,,NO_REFERENCE,4.0
Cs,2,1,0.73,0.5,pymatgen,0,CO,methanol,Cs,False,,,NO_REFERENCE,0.0
Cs,2,1,0.73,0.5,pymatgen,1,CCO,ethanol,Cs,False,,,NO_REFERENCE,1.0
C1,1,1,0.6900000000000001,0.5,pymatgen,0,CC(O)C,isopropanol,Cs,False,,,NO_REFERENCE,2.0
C2v,4,2,0.81,0.5,pymatgen,0,c1ccccc1N,aniline,Cs,False,,,NO_REFERENCE,4.0
C2,2,2,0.73,0.5,pymatgen,0,c1ccccc1Nc2ccccc2,diphenylamine,C2v,False,,,NO_REFERENCE,5.0
Cs,2,1,0.73,0.5,pymatgen,0,c1ccccc1C(=O)O,benzoic acid,Cs,False,,,NO_REFERENCE,6.0
C1,1,1,0.6900000000000001,0.5,pymatgen,0,CCCCC,pentane,C2,False,,,NO_REFERENCE,2.0
C2,2,2,0.73,0.5,pymatgen,2,CCCCCC,hexane,C2,False,,,NO_REFERENCE,3.0
C2h,4,2,0.81,0.5,pymatgen,0,CC(C)C(C)C,"2,3-dimethylbutane",C2,False,,,NO_REFERENCE,3.0
C2v,4,2,0.81,0.5,pymatgen,0,c1ccc(F)cc1,fluorobenzene,Cs,False,,,NO_REFERENCE,4.0
C2v,4,2,0.81,0.5,pymatgen,0,c1ccc(Br)cc1,bromobenzene,Cs,False,,,NO_REFERENCE,4.0
C2v,4,2,0.81,0.5,pymatgen,0,c1ccc(I)cc1,iodobenzene,Cs,False,,,NO_REFERENCE,4.0
C2v,4,2,0.81,0.5,pymatgen,1,c1ccc(N)cc1,4-aminobiphenyl,C2v,False,,,NO_REFERENCE,4.0
