mol_index,id,smiles,point_group,order,max_rotation_order,confidence,method,assembly_index,source,success
0,gdb_1,[H]C([H])([H])[H],O,117,117,0.97,pymatgen,3.32,heuristic_simple,True
1,gdb_2,[H]N([H])[H],C1,1,1,0.9,rdkit_legacy,3.0,heuristic_simple,True
2,gdb_3,[H]O[H],C2v,4,2,0.81,pymatgen,2.58,heuristic_simple,True
3,gdb_4,[H]C#C[H],D*h,2,2,0.73,pymatgen,0.0,assembly_theory_exact,True
4,gdb_5,[H]C#N,C*v,1,1,0.6900000000000001,pymatgen,0.0,assembly_theory_exact,True
5,gdb_6,[H]C([H])=O,C2v,4,2,0.81,pymatgen,0.0,assembly_theory_exact,True
6,gdb_7,[H]C([H])([H])C([H])([H])[H],D3d,12,6,0.97,pymatgen,0.0,assembly_theory_exact,True
7,gdb_8,[H]OC([H])([H])[H],Cs,2,1,0.73,pymatgen,0.0,assembly_theory_exact,True
8,gdb_9,[H]C#CC([H])([H])[H],C3v,6,3,0.89,pymatgen,1.0,assembly_theory_exact,True
9,gdb_10,[H]C([H])([H])C#N,C3v,6,3,0.89,pymatgen,1.0,assembly_theory_exact,True
10,gdb_11,[H]C(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,1.0,assembly_theory_exact,True
11,gdb_12,[H]C(=O)N([H])[H],Cs,2,1,0.73,pymatgen,1.0,assembly_theory_exact,True
12,gdb_13,[H]C([H])([H])C([H])([H])C([H])([H])[H],C2v,4,2,0.81,pymatgen,1.0,assembly_theory_exact,True
13,gdb_14,[H]OC([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,1.0,assembly_theory_exact,True
14,gdb_15,[H]C([H])([H])OC([H])([H])[H],C2v,4,2,0.81,pymatgen,1.0,assembly_theory_exact,True
15,gdb_16,[H]C1([H])C([H])([H])C1([H])[H],D3h,12,6,0.97,pymatgen,2.0,assembly_theory_exact,True
16,gdb_17,[H]C1([H])OC1([H])[H],C2v,4,2,0.81,pymatgen,2.0,assembly_theory_exact,True
17,gdb_18,[H]C([H])([H])C(=O)C([H])([H])[H],C2v,4,2,0.81,pymatgen,2.0,assembly_theory_exact,True
18,gdb_19,[H]N([H])C(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
19,gdb_20,[H]N([H])C(=O)N([H])[H],C2,2,2,0.73,pymatgen,2.0,assembly_theory_exact,True
20,gdb_21,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C3v,6,3,0.89,pymatgen,2.0,assembly_theory_exact,True
21,gdb_22,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
22,gdb_23,[H][C]C#C[C][H],D*h,2,2,0.73,pymatgen,2.0,assembly_theory_exact,True
23,gdb_24,[H][C]C#C[NH3+],C3v,6,3,0.89,pymatgen,2.0,assembly_theory_exact,True
24,gdb_25,N#CC#N,D*h,2,2,0.73,pymatgen,2.0,assembly_theory_exact,True
25,gdb_26,[H]C#CC([H])=O,Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
26,gdb_27,[H]C(=O)C#N,Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
27,gdb_28,[H]C(=O)C([H])=O,C2h,4,2,0.81,pymatgen,2.0,assembly_theory_exact,True
28,gdb_29,[H]C([H])([H])C#CC([H])([H])[H],D3h,12,6,0.97,pymatgen,2.0,assembly_theory_exact,True
29,gdb_30,[H]C#CC([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
30,gdb_31,[H]C([H])([H])C([H])([H])C#N,Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
31,gdb_32,[H]N([H])C([H])([H])C#N,Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
32,gdb_33,[H]C#CC([H])([H])O[H],Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
33,gdb_34,[H]OC([H])([H])C#N,Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
