smiles,order,ma_exact,ma_heur
[H]C([H])([H])C(=O)[C@]1([H])[C@]2([H])OC([H])([H])[C@@]21[H],1,5.0,8.0
[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],2,4.0,6.75
[H]C([H])([H])[NH2+]C(OC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],1,6.0,5.58
[H]OC([H])([H])C#C[C@]1([H])OC1([H])[H],1,4.0,6.2
[H][N-]C(OC([H])([H])C([H])([H])[H])[C@]1([H])N([H])C1([H])[H],1,6.0,6.75
[H]C#CC([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])C([H])([H])[H],1,5.0,5.32
[H]C([H])([H])N1C(=O)[C@@]([H])(C([H])([H])C([H])([H])[H])C1([H])[H],1,6.0,6.75
[H]C(=O)C([H])([H])N([H])[C@@]([H])(C([H])=O)C([H])([H])[H],1,4.0,5.09
[H][N-]C1OC([H])([H])OC(=O)N1[H],1,5.0,6.2
[H]C(=O)N1C([H])([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[H],1,6.0,6.75
[H]OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])=O,1,5.0,6.67
[H]OC1(C2([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C1([H])[H],1,5.0,8.32
[H]OC([H])([H])[C@@]([H])(C([H])=O)[C@]([H])(O[H])C([H])([H])[H],1,5.0,5.17
[H]C(=O)[C@@]1([H])[N@@H+](C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[H],1,6.0,6.82
[H]OC([H])([H])[C@]1([H])[N@@H+]2C([H])([H])[C@]2([H])C([H])([H])C1([H])[H],1,6.0,8.32
[H]C([H])([H])C([H])(C([H])([H])[H])[C@@]1([H])O[C@@]1([H])C#N,1,6.0,6.59
[H]OC([H])([H])C([H])([H])[C@]1([H])C(=O)N([H])C1([H])[H],1,6.0,6.59
[H]Oc1nc([H])c(C([H])([H])[H])c([H])n1,1,6.0,6.31
[H]c1c(N([H])[H])oc(=O)n1[H],2,5.0,5.96
[H]C#CC([H])([H])N([H])C(=O)C([H])([H])O[H],1,5.0,4.91
[H]C#C[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],1,4.0,5.46
[H]C1=C2[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]2([H])C([H])([H])C1([H])[H],1,5.0,8.32
[H]O[C@@]1([H])C([H])([H])O[C@@]2([H])C([H])([H])[C@@]2([H])C1([H])[H],1,5.0,8.17
[H][N-][C+]([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],1,4.0,5.25
[H]C(=O)[C@@]([H])(OC([H])([H])[H])C([H])([H])[H],1,4.0,4.81
[H]C([H])([H])C1([H])C([H])([H])C(=O)C(=O)C1([H])[H],2,5.0,6.5
[H]C1([H])O[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])O1,1,4.0,6.59
[H]C(=O)N1C([H])([H])[C@]2([H])C([H])([H])[C@]12C([H])([H])[H],1,6.0,8.09
[H]C1=C([H])[C@@]2([H])N([H])[C@@]2([H])C12C([H])([H])C2([H])[H],1,7.0,9.59
[H]C#C[C@]1([H])OC([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H],1,6.0,6.67
[H]O[C@]12[C@@]3([H])[C@]4([H])[C@@]3([H])[C@@]1([H])[C@@]42[H],2,5.0,10.7
[H]N1C([H])([H])[C@]2([H])N([H])[C@]([H])(C#N)[C@]12[H],1,4.0,7.91
[H]C#CC(=O)N(/C([H])=N/[H])C([H])([H])[H],2,6.0,4.81
[H]C1([H])O[C@]2([H])C([H])([H])[C@](C([H])([H])[H])(O1)C2([H])[H],2,5.0,8.17
[H]O[C@]12[C@]3([H])O[C@@]1([H])C([H])([H])C([H])([H])[C@@]32[H],1,5.0,9.5
[H]N1C([H])([H])C(=O)C(=O)C1([H])[H],2,4.0,6.08
[H]C1=C([H])C([H])=C([H])C([NH2+]C([H])([H])[H])O1,1,6.0,6.67
[H]O/N=C(\C([H])([H])[H])C([H])([H])[C@]1([H])OC1([H])[H],1,6.0,6.59
[H]C1=C(C([H])([H])[H])[C@@]2([H])O[C@@]2([H])[C@@]1([H])C([H])([H])[H],1,6.0,8.17
[H][C+]([NH2+]C([H])([H])[H])OC([H])([H])C#N,1,5.0,4.91
[H]C([H])([H])[N@H+]1C([H])([H])[C@@]1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],1,6.0,7.08
[H]C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[C@]12OC([H])([H])C2([H])[H],1,5.0,8.32
[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C#N,2,4.0,5.39
[H]N(C([H])([H])C#N)[C@@]([H])(C#N)C([H])([H])[H],1,4.0,4.91
[H]O[C@]([H])(C([H])([H])[H])[C@@]1([H])O[C@@]1([H])C#N,1,5.0,6.41
[H]C#C[C@]([H])(OC([H])=O)C([H])([H])[H],1,5.0,4.7
[H]OC([H])([H])[C@@]1([H])[C@@]2([H])N([H])[C@]1([H])[C@@]2([H])O[H],1,6.0,8.09
[H]C#CC([H])([H])[C@]1(C([H])([H])[H])C([H])([H])[C@@]1([H])O[H],1,5.0,6.67
[H]c1c(C([H])([H])[H])c(C([H])([H])[H])n([H])c1C([H])([H])[H],2,4.0,6.75
[H]C([H])([H])[C@@]12O[C@]1([H])[C@]1([H])C([H])([H])[C@]1([H])C2([H])[H],1,4.0,9.67
[H]C1([H])C([H])([H])C1(C#N)[C@@]1([H])OC1([H])[H],1,6.0,7.91
[H]O[C@@]1([H])C(=O)[C@@]2(C([H])([H])[H])O[C@@]12[H],1,5.0,7.81
[H]N(C([H])([H])[H])[C@@]1([H])C([H])([H])[C@@]1(C#N)N([H])[H],1,5.0,6.59
[H]C([H])([H])[C@@]1([H])C([H])([H])[C@@]2([H])[C@@]3([H])C([H])([H])[C@]1([H])[C@@]23[H],1,4.0,9.82
[H][N-]C1O[C@@]([H])(C([H])([H])[H])C([H])([H])C1=O,1,6.0,6.5
[H]C1([H])O[C@@]12C([H])([H])[N@H+]1C([H])([H])[C@]12[H],1,5.0,9.41
[H]C([H])([H])C#CC([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],1,5.0,5.46
[H]O[C@]1([H])C([H])([H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],1,5.0,6.96
[H]C([H])([H])[C@]12C(=O)[C@]3([H])C([H])([H])[C@@]1([H])[C@]23[H],1,5.0,9.5
[H]C([H])([H])C([H])([H])[C@]12[N@@H+]3C([H])([H])[C@]([H])(C1([H])[H])[C@@]32[H],1,5.0,9.82
[H]C([H])([H])C([H])([H])C(=O)C([H])([H])[C@]1([H])OC1([H])[H],1,6.0,6.67
[H]C([H])([H])[C@@]1([H])[C@@]2([H])OC([H])([H])[C@]21C#N,1,5.0,7.91
[H]C#CC([H])([H])C(=O)C([H])([H])C([H])=O,1,4.0,4.81
[H]C1=NC([H])([H])C(=O)O1,2,5.0,5.67
[H]C([H])([H])[NH2+]C1O[C@]([H])(C([H])([H])[H])C([H])([H])C1([H])[H],1,6.0,6.96
[H]C([H])([H])C([H])([H])[C@]1([H])[C@]2([H])OC([H])([H])C([H])([H])[C@@]21[H],1,5.0,8.32
[H]OC([H])([H])C([H])([H])C1(OC([H])([H])[H])C([H])([H])C1([H])[H],1,5.0,6.82
[H][N-]C1OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O1,1,5.0,6.67
[H]O[C@]([H])(C([H])([H])[H])[C@@]1(C([H])([H])[H])N([H])[C@@]1([H])C([H])([H])[H],1,5.0,6.89
[H]OC([H])([H])[C@]([H])(C([H])([H])[H])[C@@]([H])(O[H])C([H])([H])O[H],1,4.0,5.32
[H]C#Cc1nc([H])c(C([H])([H])[H])o1,2,6.0,6.2
[H]C([H])([H])C(=O)C(=O)C([H])([H])C([H])([H])[H],1,4.0,4.91
[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H],1,6.0,5.25
[H]C(=O)[C@]12N([H])[C@@]1([H])[C@@]1([H])C([H])([H])[C@@]21[H],1,6.0,9.41
[H]OC([H])([H])[C@@]([H])(C#CC([H])([H])[H])C([H])([H])[H],1,5.0,5.09
[H]C(=O)N([H])C1(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],1,6.0,6.75
[H]c1nc(C([H])([H])[H])c(N([H])[H])c([H])c1[H],2,6.0,6.5
[H]C1([H])O[C@@]2([H])C([H])([H])[C@@]2([H])OC1=O,1,6.0,7.81
[H]C#Cc1oc([H])c([H])c1N([H])[H],2,6.0,6.2
[H]C1([H])[C@@]2([H])[C@]1([H])[C@@]1([H])O[C@]2([H])C1([H])[H],2,5.0,9.41
[H]OC(=O)[C@]1([H])N([H])[C@]1([H])C([H])([H])N([H])[H],1,5.0,6.5
[H]C#C[C@@]1([H])O[C@]([H])(C([H])([H])[H])C([H])=C1[H],1,5.0,6.5
[H][N-]C1OC([H])([H])OC(=O)C1([H])[H],1,5.0,6.31
[H]C([H])([H])C#CC([H])([H])OC(=O)C([H])([H])[H],2,5.0,5.0
[H]C1([H])[N@@H+]2C([H])([H])[C@]2(C#N)C1([H])[H],1,5.0,7.81
[H]N([H])[C@]12[C@@H]3[NH2+]C([H])([H])[C@@]1([H])[C@@]2([H])O3,1,6.0,9.59
[H]C1([H])[C@@]2([H])[C@@]3([H])[C@@]4([H])[C@]1([H])[C@]2(C([H])([H])[H])[C@@]34[H],2,5.0,11.17
[H]O[C@]1([H])C(C([H])([H])[H])(C([H])([H])[H])[C@]1([H])C([H])=O,1,5.0,6.67
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C1([H])[H],1,5.0,6.96
[H]/C(=N\c1nc([H])c([H])o1)N([H])[H],2,6.0,6.2
[H]C#C[C@@]1([H])C([H])([H])OC12C([H])([H])C2([H])[H],1,5.0,8.0
[H]N1C(=O)[C@]2([H])C([H])([H])C([H])([H])[C@@]1([H])C2([H])[H],1,5.0,8.09
[H]C(=O)[C@@]([H])(C(=O)C([H])([H])[H])C([H])([H])[H],1,4.0,4.91
[H]OC([H])([H])[C@]1(C([H])=O)O[C@]1([H])C([H])([H])[H],1,5.0,6.5
[H]N([H])c1noc(C([H])([H])[H])n1,2,6.0,6.08
[H]O[C@]1([H])[C@@]2([H])C([H])([H])C([H])([H])[C@]1([H])C2([H])[H],1,5.0,8.09
[H]C1([H])O[C@@]1([H])C([H])([H])[N@@H+]1C([H])([H])[C@]1([H])C([H])([H])[H],1,6.0,8.32
[H][C+]1[NH2+][C@@]2([H])[C@@]3([H])[NH2+][C+]([H])[N@@H+]1[C@@]23[H],2,5.0,9.67
[H]O[C@]1([H])C(=O)C([H])=C([H])N([H])C1([H])[H],1,7.0,6.41
[H]c1noc(C([H])([H])C([H])([H])[H])c1[H],1,6.0,6.31
[H]C([H])([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],6,3.0,4.91
[H]C([H])([H])N1C(=O)C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H],1,5.0,6.75
[H]C#C[C@]1([H])C([H])([H])[C@]([H])(O[H])[C@]1([H])O[H],1,5.0,6.5
[H]N1C([H])([H])[C@]1([H])C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],1,6.0,6.89
[H][C+]1[NH2+][C@@]([H])([C@]2([H])N([H])C2([H])[H])C([H])([H])O1,1,6.0,8.17
[H]C1([H])O[C@@]2([H])C([H])([H])[C@@]2([H])[C@@]([H])(C([H])([H])[H])O1,1,5.0,8.17
[H]C(=O)/C(=N/C([H])([H])[H])N([H])[H],2,4.0,4.58
[H]C#C[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])=O,1,5.0,5.17
[H]OC([H])([H])C(=O)C([H])([H])C(=O)C([H])([H])[H],1,4.0,5.0
[H]C#C/C(=N/O[H])C([H])([H])O[H],1,5.0,4.58
[H]OC(C([H])([H])[H])(C([H])([H])[H])[C@@]1([H])[N@@H+](C([H])([H])[H])C1([H])[H],1,6.0,6.96
[H]O[C@]12C([H])([H])C([H])([H])[C@@]1([H])[C@@]1([H])O[C@]12[H],1,5.0,9.5
[H]O[C@@]1([H])[C@]2([H])[N@H+]3[C@@]([H])([C@]2([H])O[H])[C@]31[H],1,5.0,9.5
[H]C([H])([H])[C@]1([H])O[C@]2([H])C([H])([H])[C@]2([H])C1([H])[H],1,4.0,8.09
[H]C#C[C@@]1([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]1([H])O[H],1,5.0,6.67
[H]C(=O)[C@]1([H])[NH2+][C+]([H])O[C@]1([H])C([H])([H])[H],1,7.0,6.59
[H]C([H])([H])C1(C([H])([H])[H])C(=O)[C@]2([H])O[C@]12[H],1,6.0,8.0
[H]C(=O)[C@]1([H])C([H])([H])[C@]2(C([H])([H])[H])N([H])[C@@]21[H],1,5.0,8.09
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C#CC#N,1,5.0,5.09
[H]N1[C@@]2([H])[C@]1([H])[C@@]1([H])[N@@H+](C([H])([H])[H])[C@]2([H])C1([H])[H],2,5.0,9.75
[H]Oc1nc([H])n(C([H])([H])[H])n1,2,5.0,6.08
[H]C#C[C@]1([H])O[C@]2([H])[C@]([H])(C([H])([H])[H])[C@@]21[H],1,5.0,8.0
[H]N1C([H])([H])[C@]12C([H])([H])[N@H+]1C([H])([H])[C@]12[H],1,4.0,9.5
[H]O[C@]12C([H])([H])[C@@]1([H])[C@]1([H])[C@]([H])(C([H])([H])[H])[C@]21[H],1,5.0,9.67
[H]C1([H])C(=O)[C@]2([H])O[C@]([H])(C([H])([H])[H])[C@]12[H],1,5.0,8.0
[H]N1[C@@]([H])(C([H])([H])[NH+]2C([H])([H])C2([H])[H])[C@@]1([H])C([H])([H])[H],1,5.0,8.39
[H]C([H])([H])[C@@]1([H])C([H])([H])[C@]12C(=O)OC2([H])[H],1,5.0,8.0
[H]Oc1c([H])c([H])c(N([H])[H])c([H])c1[H],2,5.0,6.41
[H]C(=O)n1nnc([H])n1,2,6.0,5.67
[H]O[C@]1([H])C([H])([H])C([H])([H])[C@]2([H])N([H])[C@@]21C([H])([H])[H],1,5.0,8.25
[H]C(=O)C([H])([H])[C@]1([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],1,5.0,6.82
[H]N([H])[C@@]([H])(C#N)C#CC#N,1,5.0,4.46
[H]C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],1,4.0,8.46
[H][C+]([NH2+]C1([H])C([H])([H])C1([H])[H])OC([H])([H])[H],1,6.0,6.67
[H]N1C(=O)C([H])([H])[C@@]12C([H])([H])[C@]2([H])C([H])([H])[H],1,5.0,8.09
[H]OC(=O)C([H])([H])N([H])C([H])([H])C([H])([H])[H],1,4.0,5.0
[H]C([H])([H])O[C@@]1([H])C([H])([H])[C@@]2(C([H])([H])[H])O[C@]21[H],1,5.0,8.17
[H]O[C@]1([H])[C@]2([H])O[C@@]1([H])[C@@]21OC1([H])[H],2,4.0,9.31
[H]C1=C([H])[C@]2([H])C([H])([H])[C@@]1([H])C2(C([H])([H])[H])C([H])([H])[H],2,4.0,8.32
[H]N([H])C(=O)C([H])([H])C(=O)OC([H])([H])[H],1,5.0,4.91
[H]C1([H])O[C@@]([H])([C@]2([H])OC2([H])[H])C1=O,1,5.0,7.81
[H]Oc1c([H])c([H])c(N([H])C([H])([H])[H])n1[H],1,5.0,6.5
[H]C#CC([H])([H])C(=O)C([H])([H])C([H])([H])O[H],1,5.0,5.0
[H]C([H])([H])C(=O)[C@]1([H])[N@@H+](C([H])([H])[H])[C@@]1([H])C([H])([H])[H],1,6.0,6.82
[H]C(=O)N(C([H])=O)C([H])([H])C#N,2,5.0,4.58
[H]C([H])([H])[C@@]1([H])[C@]2([H])[C@]3([H])C([H])([H])[C@@]([H])(C3([H])[H])[C@]12[H],2,4.0,9.82
[H]c1nc(N([H])C([H])([H])[H])nc([H])c1[H],1,6.0,6.41
[H]O[C@]1([H])C([H])([H])[C@]1([NH+]1C([H])([H])C1([H])[H])C([H])([H])[H],1,7.0,8.32
[H]OC([H])([H])C(=O)C([H])([H])[C@]([H])(O[H])C([H])([H])[H],1,5.0,5.17
[H]Oc1c([H])c(O[H])n([H])c1N([H])[H],1,6.0,6.31
[H]OC([H])([H])[C@@]([H])(C#N)C([H])([H])C([H])([H])[H],1,4.0,5.0
[H]N1C(=O)N([H])[C@]2([H])C([H])([H])[C@]12[H],2,5.0,7.7
[H]C1=C2C([H])([H])C([H])([H])O[C@]2([H])OC1([H])[H],1,6.0,8.0
[H]c1nc(C([H])([H])[H])c([H])n1[H],2,5.0,6.08
[H]C#Cc1nc([H])c([H])c([H])c1[H],2,6.0,6.2
[H]O[C@@]1([H])C([H])([H])[C@]12OC([H])([H])C([H])([H])C2([H])[H],1,4.0,8.17
[H][C+]1[NH2+][C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])O1,1,6.0,6.67
[H]C(=O)C#C[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])[H],1,6.0,6.5
[H]C(=O)C(C#N)(C([H])=O)C([H])([H])[H],1,4.0,4.7
[H]C1=C(C([H])([H])[H])[C@]([H])(C#N)C([H])([H])C1([H])[H],1,5.0,6.59
[H][N-]C1OC([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H],1,5.0,6.59
[H]N1[C@]([H])(C#CC([H])([H])[H])[C@]1([H])C#N,1,6.0,6.31
[H]C(=O)[C@]1(C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],1,5.0,6.82
[H]C#CC1=C([H])[C@@]2([H])O[C@]1([H])C2([H])[H],1,6.0,7.81
[H]O[C@@]1(C([H])([H])[H])C(=O)C([H])([H])OC1([H])[H],1,5.0,6.5
[H]O[C@@]1([H])C([H])([H])C2(C([H])([H])C2([H])[H])[C@@]1([H])C([H])([H])[H],1,4.0,8.32
[H]O[C@@]([H])(C#N)[C@@]1([H])[N@@H+](C([H])([H])[H])C1([H])[H],1,6.0,6.59
[H]C#C[C@]1([H])C([H])([H])O[C@]1([H])C([H])([H])O[H],1,5.0,6.5
[H][C+]1[NH2+][C@]2([H])C([H])([H])[C@]2(C([H])([H])C([H])([H])[H])O1,1,7.0,8.25
[H][N-]C1OC(=O)N=C([H])O1,1,5.0,5.96
[H]Oc1c(N([H])[H])c([H])n([H])c1O[H],2,6.0,6.31
[H]C#C[C@@](C([H])=O)(C([H])([H])[H])C([H])([H])C([H])([H])[H],1,5.0,5.17
[H]O[C@@]1(C([H])([H])[H])[C@]2([H])[C@]3([H])N([H])[C@]3([H])[C@]12[H],1,6.0,9.59
[H][N-]C1N(C([H])([H])C([H])([H])[H])C([H])=NC1([H])[H],1,6.0,6.67
[H]C(=O)C(=O)C#N,2,3.0,3.81
[H]C1=NC([H])([H])[C@@H]2[NH2+]C([H])([H])C([H])([H])N12,1,5.0,8.17
[H]C(=O)C(=O)C#CC([H])([H])C([H])([H])[H],2,5.0,4.81
[H]C#C[C@@]1([H])[C@@]2([H])[C@@]3([H])N([H])[C@@]3([H])[C@@]12[H],2,6.0,9.41
[H]OC([H])([H])[C@@]1([H])C([H])([H])C(=O)[C@@]1([H])C([H])([H])[H],1,5.0,6.67
[H]OC([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],1,5.0,6.96
[H]C([H])([H])[C@@]12C([H])([H])[N@H+]3C([H])([H])[C@]1(C([H])([H])[H])[C@]32[H],2,5.0,9.82
[H]C(=O)[C@]1([H])OC(=O)OC1([H])[H],1,5.0,6.08
