point_group,order,max_rotation_order,confidence,tolerance_used,method,conformer_index,smiles,assembly_index
Td,24,12,0.97,0.3,pymatgen,0,[H]C([H])([H])[H],3.32
C3v,6,3,0.89,0.3,pymatgen,0,[H]N([H])[H],3.0
C2v,4,2,0.81,0.3,pymatgen,0,[H]O[H],2.58
D*h,2,2,0.73,0.3,pymatgen,0,[H]C#C[H],3.0
C*v,1,1,0.6900000000000001,0.3,pymatgen,0,[H]C#N,2.58
C2v,4,2,0.81,0.3,pymatgen,0,[H]C([H])=O,3.0
D3d,12,6,0.97,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])[H],4.0
Cs,2,1,0.73,0.3,pymatgen,0,[H]OC([H])([H])[H],3.58
C3v,6,3,0.89,0.3,pymatgen,0,[H]C#CC([H])([H])[H],3.81
C3v,6,3,0.89,0.3,pymatgen,0,[H]C([H])([H])C#N,3.58
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)C([H])([H])[H],3.81
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)N([H])[H],3.58
C2v,4,2,0.81,0.3,pymatgen,0,[H]C([H])([H])C([H])([H])C([H])([H])[H],4.46
Cs,2,1,0.73,0.3,pymatgen,0,[H]OC([H])([H])C([H])([H])[H],4.17
C2v,4,2,0.81,0.3,pymatgen,0,[H]C([H])([H])OC([H])([H])[H],4.17
D3h,12,6,0.97,0.3,pymatgen,0,[H]C1([H])C([H])([H])C1([H])[H],5.67
C2v,4,2,0.81,0.3,pymatgen,0,[H]C1([H])OC1([H])[H],5.31
C2v,4,2,0.81,0.3,pymatgen,0,[H]C([H])([H])C(=O)C([H])([H])[H],4.32
Cs,2,1,0.73,0.3,pymatgen,0,[H]N([H])C(=O)C([H])([H])[H],4.17
C2,2,2,0.73,0.3,pymatgen,0,[H]N([H])C(=O)N([H])[H],4.0
C3v,6,3,0.89,0.3,pymatgen,0,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],4.81
Cs,2,1,0.73,0.3,pymatgen,3,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],4.58
D*h,2,2,0.73,0.3,pymatgen,0,[H][C]C#C[C][H],3.58
C3v,6,3,0.89,0.3,pymatgen,0,[H][C]C#C[NH3+],4.0
D*h,2,2,0.73,0.3,pymatgen,0,N#CC#N,3.0
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#CC([H])=O,3.58
Cs,2,1,0.73,0.3,pymatgen,0,[H]C(=O)C#N,3.32
C2h,4,2,0.81,0.3,pymatgen,0,[H]C(=O)C([H])=O,3.58
D3h,12,6,0.97,0.3,pymatgen,0,[H]C([H])([H])C#CC([H])([H])[H],4.32
Cs,2,1,0.73,0.3,pymatgen,0,[H]C#CC([H])([H])C([H])([H])[H],4.32
