mol_index,id,smiles,symmetry_success,point_group,order,max_rotation_order,symmetry_confidence,symmetry_method,ma_success,assembly_index,ma_source,ma_error
0,gdb_1,[H]C([H])([H])[H],True,O,117,117,0.97,pymatgen,False,,assembly_theory_exact,invalid_or_overflow
1,gdb_2,[H]N([H])[H],True,C1,1,1,0.9,rdkit_legacy,False,,assembly_theory_exact,invalid_or_overflow
2,gdb_3,[H]O[H],True,C2v,4,2,0.81,pymatgen,False,,assembly_theory_exact,invalid_or_overflow
3,gdb_4,[H]C#C[H],True,D*h,2,2,0.73,pymatgen,True,0.0,assembly_theory_exact,
4,gdb_5,[H]C#N,True,C*v,1,1,0.6900000000000001,pymatgen,True,0.0,assembly_theory_exact,
5,gdb_6,[H]C([H])=O,True,C2v,4,2,0.81,pymatgen,True,0.0,assembly_theory_exact,
6,gdb_7,[H]C([H])([H])C([H])([H])[H],True,D3d,12,6,0.97,pymatgen,True,0.0,assembly_theory_exact,
7,gdb_8,[H]OC([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,0.0,assembly_theory_exact,
8,gdb_9,[H]C#CC([H])([H])[H],True,C3v,6,3,0.89,pymatgen,True,1.0,assembly_theory_exact,
9,gdb_10,[H]C([H])([H])C#N,True,C3v,6,3,0.89,pymatgen,True,1.0,assembly_theory_exact,
10,gdb_11,[H]C(=O)C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,1.0,assembly_theory_exact,
11,gdb_12,[H]C(=O)N([H])[H],True,Cs,2,1,0.73,pymatgen,True,1.0,assembly_theory_exact,
12,gdb_13,[H]C([H])([H])C([H])([H])C([H])([H])[H],True,C2v,4,2,0.81,pymatgen,True,1.0,assembly_theory_exact,
13,gdb_14,[H]OC([H])([H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,1.0,assembly_theory_exact,
14,gdb_15,[H]C([H])([H])OC([H])([H])[H],True,C2v,4,2,0.81,pymatgen,True,1.0,assembly_theory_exact,
15,gdb_16,[H]C1([H])C([H])([H])C1([H])[H],True,D3h,12,6,0.97,pymatgen,True,2.0,assembly_theory_exact,
16,gdb_17,[H]C1([H])OC1([H])[H],True,C2v,4,2,0.81,pymatgen,True,2.0,assembly_theory_exact,
17,gdb_18,[H]C([H])([H])C(=O)C([H])([H])[H],True,C2v,4,2,0.81,pymatgen,True,2.0,assembly_theory_exact,
18,gdb_19,[H]N([H])C(=O)C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
19,gdb_20,[H]N([H])C(=O)N([H])[H],True,C2,2,2,0.73,pymatgen,True,2.0,assembly_theory_exact,
20,gdb_21,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],True,C3v,6,3,0.89,pymatgen,True,2.0,assembly_theory_exact,
21,gdb_22,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
22,gdb_23,[H][C]C#C[C][H],True,D*h,2,2,0.73,pymatgen,True,2.0,assembly_theory_exact,
23,gdb_24,[H][C]C#C[NH3+],True,C3v,6,3,0.89,pymatgen,True,2.0,assembly_theory_exact,
24,gdb_25,N#CC#N,True,D*h,2,2,0.73,pymatgen,True,2.0,assembly_theory_exact,
25,gdb_26,[H]C#CC([H])=O,True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
26,gdb_27,[H]C(=O)C#N,True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
27,gdb_28,[H]C(=O)C([H])=O,True,C2h,4,2,0.81,pymatgen,True,2.0,assembly_theory_exact,
28,gdb_29,[H]C([H])([H])C#CC([H])([H])[H],True,D3h,12,6,0.97,pymatgen,True,2.0,assembly_theory_exact,
29,gdb_30,[H]C#CC([H])([H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
30,gdb_31,[H]C([H])([H])C([H])([H])C#N,True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
31,gdb_32,[H]N([H])C([H])([H])C#N,True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
32,gdb_33,[H]C#CC([H])([H])O[H],True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
33,gdb_34,[H]OC([H])([H])C#N,True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
34,gdb_35,[H]C(=O)C([H])([H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
35,gdb_36,[H]C(=O)N([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,2.0,assembly_theory_exact,
36,gdb_37,[H]C(=O)OC([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
37,gdb_38,[H]OC([H])([H])C([H])=O,True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
38,gdb_39,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],True,C2h,4,2,0.81,pymatgen,True,2.0,assembly_theory_exact,
39,gdb_40,[H]OC([H])([H])C([H])([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,2.0,assembly_theory_exact,
40,gdb_41,[H]C([H])([H])OC([H])([H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
41,gdb_42,[H]OC([H])([H])C([H])([H])O[H],True,C2,2,2,0.73,pymatgen,True,2.0,assembly_theory_exact,
42,gdb_43,[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
43,gdb_44,[H]C([H])([H])[C@]1([H])OC1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,2.0,assembly_theory_exact,
44,gdb_45,[H]C([H])([H])[NH+]1C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
45,gdb_46,[H]OC1([H])C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
46,gdb_47,[H]C1([H])C([H])([H])C([H])([H])C1([H])[H],True,D2d,8,4,0.97,pymatgen,True,2.0,assembly_theory_exact,
47,gdb_48,[H]C1([H])OC([H])([H])C1([H])[H],True,C2v,4,2,0.81,pymatgen,True,2.0,assembly_theory_exact,
48,gdb_49,[H]ON=C(C([H])([H])[H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
49,gdb_50,[H]c1c([H])c([H])n([H])c1[H],True,C2v,4,2,0.81,pymatgen,True,3.0,assembly_theory_exact,
50,gdb_51,[H]c1nc([H])n([H])c1[H],True,Cs,2,1,0.73,pymatgen,True,4.0,assembly_theory_exact,
51,gdb_52,[H]c1oc([H])c([H])c1[H],True,C2v,4,2,0.81,pymatgen,True,3.0,assembly_theory_exact,
52,gdb_53,[H]c1nc([H])c([H])o1,True,Cs,2,1,0.73,pymatgen,True,4.0,assembly_theory_exact,
53,gdb_54,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],True,Td,24,12,0.97,pymatgen,True,2.0,assembly_theory_exact,
54,gdb_55,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
55,gdb_56,[H]C#CC(=O)C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
56,gdb_57,[H]C([H])([H])C(=O)C#N,True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
