mol_index,id,smiles,point_group,order,max_rotation_order,confidence,method,assembly_index
0,gdb_1,[H]C([H])([H])[H],O,117,117,0.97,pymatgen,3.32
1,gdb_2,[H]N([H])[H],C1,1,1,0.9,rdkit_legacy,3.0
2,gdb_3,[H]O[H],C2v,4,2,0.81,pymatgen,2.58
3,gdb_4,[H]C#C[H],D*h,2,2,0.73,pymatgen,3.0
4,gdb_5,[H]C#N,C*v,1,1,0.6900000000000001,pymatgen,2.58
5,gdb_6,[H]C([H])=O,C2v,4,2,0.81,pymatgen,3.0
6,gdb_7,[H]C([H])([H])C([H])([H])[H],D3d,12,6,0.97,pymatgen,4.0
7,gdb_8,[H]OC([H])([H])[H],Cs,2,1,0.73,pymatgen,3.58
8,gdb_9,[H]C#CC([H])([H])[H],C3v,6,3,0.89,pymatgen,3.81
9,gdb_10,[H]C([H])([H])C#N,C3v,6,3,0.89,pymatgen,3.58
10,gdb_11,[H]C(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.81
11,gdb_12,[H]C(=O)N([H])[H],Cs,2,1,0.73,pymatgen,3.58
12,gdb_13,[H]C([H])([H])C([H])([H])C([H])([H])[H],C2v,4,2,0.81,pymatgen,4.46
13,gdb_14,[H]OC([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.17
14,gdb_15,[H]C([H])([H])OC([H])([H])[H],C2v,4,2,0.81,pymatgen,4.17
15,gdb_16,[H]C1([H])C([H])([H])C1([H])[H],D3h,12,6,0.97,pymatgen,5.67
16,gdb_17,[H]C1([H])OC1([H])[H],C2v,4,2,0.81,pymatgen,5.31
17,gdb_18,[H]C([H])([H])C(=O)C([H])([H])[H],C2v,4,2,0.81,pymatgen,4.32
18,gdb_19,[H]N([H])C(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.17
19,gdb_20,[H]N([H])C(=O)N([H])[H],C2,2,2,0.73,pymatgen,4.0
20,gdb_21,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C3v,6,3,0.89,pymatgen,4.81
21,gdb_22,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.58
22,gdb_23,[H][C]C#C[C][H],D*h,2,2,0.73,pymatgen,3.58
23,gdb_24,[H][C]C#C[NH3+],C3v,6,3,0.89,pymatgen,4.0
24,gdb_25,N#CC#N,D*h,2,2,0.73,pymatgen,3.0
25,gdb_26,[H]C#CC([H])=O,Cs,2,1,0.73,pymatgen,3.58
26,gdb_27,[H]C(=O)C#N,Cs,2,1,0.73,pymatgen,3.32
27,gdb_28,[H]C(=O)C([H])=O,C2h,4,2,0.81,pymatgen,3.58
28,gdb_29,[H]C([H])([H])C#CC([H])([H])[H],D3h,12,6,0.97,pymatgen,4.32
29,gdb_30,[H]C#CC([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.32
30,gdb_31,[H]C([H])([H])C([H])([H])C#N,Cs,2,1,0.73,pymatgen,4.17
31,gdb_32,[H]N([H])C([H])([H])C#N,Cs,2,1,0.73,pymatgen,4.0
32,gdb_33,[H]C#CC([H])([H])O[H],Cs,2,1,0.73,pymatgen,4.0
33,gdb_34,[H]OC([H])([H])C#N,Cs,2,1,0.73,pymatgen,3.81
34,gdb_35,[H]C(=O)C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.32
35,gdb_36,[H]C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.17
36,gdb_37,[H]C(=O)OC([H])([H])[H],Cs,2,1,0.73,pymatgen,4.0
37,gdb_38,[H]OC([H])([H])C([H])=O,Cs,2,1,0.73,pymatgen,4.0
38,gdb_39,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],C2h,4,2,0.81,pymatgen,4.81
39,gdb_40,[H]OC([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.58
40,gdb_41,[H]C([H])([H])OC([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.58
41,gdb_42,[H]OC([H])([H])C([H])([H])O[H],C2,2,2,0.73,pymatgen,4.32
42,gdb_43,[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,6.08
43,gdb_44,[H]C([H])([H])[C@]1([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.82
44,gdb_45,[H]C([H])([H])[NH+]1C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,6.08
45,gdb_46,[H]OC1([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,5.82
46,gdb_47,[H]C1([H])C([H])([H])C([H])([H])C1([H])[H],D2d,8,4,0.97,pymatgen,6.08
47,gdb_48,[H]C1([H])OC([H])([H])C1([H])[H],C2v,4,2,0.81,pymatgen,5.82
48,gdb_49,[H]ON=C(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.58
49,gdb_50,[H]c1c([H])c([H])n([H])c1[H],C2v,4,2,0.81,pymatgen,5.82
50,gdb_51,[H]c1nc([H])n([H])c1[H],Cs,2,1,0.73,pymatgen,5.67
51,gdb_52,[H]c1oc([H])c([H])c1[H],C2v,4,2,0.81,pymatgen,5.67
52,gdb_53,[H]c1nc([H])c([H])o1,Cs,2,1,0.73,pymatgen,5.5
53,gdb_54,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],Td,24,12,0.97,pymatgen,5.09
54,gdb_55,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.91
55,gdb_56,[H]C#CC(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.17
56,gdb_57,[H]C([H])([H])C(=O)C#N,Cs,2,1,0.73,pymatgen,4.0
57,gdb_58,[H]/N=C(/C#N)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0
58,gdb_59,[H]C#CC(=O)N([H])[H],Cs,2,1,0.73,pymatgen,4.0
59,gdb_60,[H]C(=O)C(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.17
60,gdb_61,[H]/N=C(/C([H])=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.17
61,gdb_62,[H]C(=O)C(=O)N([H])[H],Cs,2,1,0.73,pymatgen,4.0
62,gdb_63,[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.7
63,gdb_64,[H]C([H])([H])C([H])(C#N)C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.58
64,gdb_65,[H]N([H])[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.46
65,gdb_66,[H]C#C[C@]([H])(O[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.46
66,gdb_67,[H]O[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.32
67,gdb_68,[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.7
68,gdb_69,[H]O[C@@]([H])(C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.46
69,gdb_70,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.58
70,gdb_71,[H]OC([H])([H])C(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.46
71,gdb_72,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.7
72,gdb_73,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.58
