mol_index,smiles,assembly_index,current_pg,current_order,trusted_pg,trusted_order,tolerance,exact_label_match,order_match,order_abs_delta,current_pg_coarse,trusted_pg_coarse,coarse_label_match,coarse_order_match
18887,[H][C@]12[C@]3([H])[C@]4([H])[C@@]1([H])[C@]1([H])[C@@]2([H])[C@@]3([H])[C@]41[H],4.0,Ih,266,Oh,48,0.5,False,False,218,Ih,Oh,False,False
157,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],3.0,D2,2,D2d,20,0.5,False,False,18,D2,D2d,False,False
100974,[H]OC([H])([H])C(C([H])([H])O[H])(C([H])([H])O[H])C([H])([H])O[H],3.0,C1,1,D2d,8,0.5,False,False,7,LOW_SYM,D2d,False,False
18889,[H][C@]12[NH+]3[C@]4([H])[C@@]1([H])[NH+]1[C@@]2([H])[C@@]3([H])[C@@]14[H],4.0,D3d,12,D2h,6,0.5,False,False,6,D3d,D2h,False,False
5754,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],4.0,D3d,12,D3,6,0.5,False,False,6,D3d,D3,False,False
23,[H][C]C#C[NH3+],2.0,C3v,6,C*v,1,0.5,False,False,5,C3v,C*v,False,False
12038,[H]C1([H])C([H])([H])C12C([H])([H])C1(C([H])([H])C1([H])[H])C2([H])[H],4.0,C2v,4,D2h,8,0.5,False,False,4,C2v,D2h,False,False
41418,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],4.0,C2,2,D3,6,0.5,False,False,4,C2,D3,False,False
4532,[H]c1c([H])c(N([H])[H])c([H])c([H])c1N([H])[H],5.0,D2h,8,C2v,4,0.5,False,False,4,D2h,C2v,False,False
27499,[H]C([H])([H])c1nc(C([H])([H])[H])nc(C([H])([H])[H])n1,4.0,Cs,2,C3h,6,0.5,False,False,4,LOW_SYM,C3h,False,False
17888,[H]C1([H])C2=C(C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C2([H])[H],4.0,D2h,8,C2v,4,0.5,False,False,4,D2h,C2v,False,False
2707,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H],3.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
130501,[H]c1c(N([H])[H])nc(F)nc1N([H])[H],7.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
364,[H]OC([H])([H])C(=O)C([H])([H])O[H],3.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
121580,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],4.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
4405,[H]Oc1c(O[H])n([H])c(=O)n1[H],5.0,C2v,4,C1,1,0.5,False,False,3,C2v,LOW_SYM,False,False
100934,[H]OC([H])([H])C(C([H])=O)(C([H])=O)C([H])([H])O[H],4.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
39542,[H]C1([H])O[C@]2(C([H])([H])C2([H])[H])[C@]2(O1)C([H])([H])C2([H])[H],6.0,C2v,4,C1,1,0.5,False,False,3,C2v,LOW_SYM,False,False
36420,[H][C-]1[C@@H]2[C@@]3([H])[C@@]4([H])[C@]2([H])[C@@]2([H])[C@]1([H])[C@]3([H])[C@@]42[H],5.0,C2v,4,C1,1,0.5,False,False,3,C2v,LOW_SYM,False,False
32033,[H]c1c(N([H])C([H])([H])[H])c(N([H])C([H])([H])[H])c([H])n1[H],5.0,C2v,4,C1,1,0.5,False,False,3,C2v,LOW_SYM,False,False
32887,[H]C#CC(C#N)(C#N)C#N,5.0,C3v,6,D1d,3,0.5,False,False,3,C3v,D1d,False,False
131,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],2.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
7088,[H]OC([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])O[H],4.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
32885,[H]C#CC(C#N)(C#C[H])C#C[H],5.0,D1d,3,C3v,6,0.5,False,False,3,D1d,C3v,False,False
26344,[H]Oc1c(O[H])c(C([H])([H])[H])n([H])c1C([H])([H])[H],5.0,C2v,4,C1,1,0.5,False,False,3,C2v,LOW_SYM,False,False
121574,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],3.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
128764,[H]C1=C([H])C(=O)C(NN)C1=O,6.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
36504,[H]C1([H])OC([H])([H])[C@]23O[C@]12C([H])([H])OC3([H])[H],5.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
32042,[H]OC([H])([H])c1c(C([H])([H])O[H])c([H])n([H])c1[H],5.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
4005,[H]ONC1=C([H])C([H])=C(NO[H])C1([H])[H],5.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
27508,[H]c1c(N([H])[H])nc(N([H])[H])nc1N([H])[H],6.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
128811,[H]C1([H])C(=O)C(NN)C(=O)C1([H])[H],6.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
18888,[H][C@]12[NH+]3[C@]4([H])[C@@]1([H])[C@@]1([H])[C@]4([H])[C@]3([H])[C@@]21[H],5.0,C3v,6,D1d,3,0.5,False,False,3,C3v,D1d,False,False
