point_group,order,max_rotation_order,smiles,assembly_index
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,C1CC1,5.67
C1,1,1,C1CC1,5.67
C1,1,1,C1CC1,5.67
C1,1,1,CC(=O)C,4.32
C1,1,1,CC(=O)C,4.32
C1,1,1,CC(=O)C,4.32
C1,1,1,CC(=O)C,4.32
C1,1,1,CCSC,4.58
C1,1,1,CCO,4.17
C1,1,1,CCO,4.17
C1,1,1,CCO,4.17
C1,1,1,CCO,4.17
C1,1,1,CC=C,4.17
C1,1,1,CC=C,4.17
C1,1,1,CC=C,4.17
C1,1,1,CC=C,4.17
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,C=C,3.58
Cs,2,1,C#C,3.0
Cs,2,1,C#C,3.0
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CS,3.58
C1,1,1,CS,3.58
C1,1,1,CS,3.58
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CCC,4.46
C1,1,1,CCC,4.46
C1,1,1,C=C(C)C,4.58
C1,1,1,C=C(C)C,4.58
C1,1,1,CC,4.0
C1,1,1,CC,4.0
C1,1,1,CC,4.0
C1,1,1,CC,4.0
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,CC#C,3.81
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,C1CCC1,6.08
C1,1,1,C(=O)O,3.32
C1,1,1,CC,4.0
C1,1,1,CC,4.0
C1,1,1,CC,4.0
C1,1,1,CC,4.0
C1,1,1,CC=C,4.17
C1,1,1,CC=C,4.17
C1,1,1,CC=C,4.17
C1,1,1,CC=C,4.17
C1,1,1,COC,4.17
Cs,2,1,C=O,3.0
C1,1,1,C=C(C)C,4.58
C1,1,1,C=C(C)C,4.58
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
Cs,2,1,c1ccccc1,6.08
Cs,2,1,c1ccccc1,6.08
Cs,2,1,c1ccccc1,6.08
Cs,2,1,c1ccccc1,6.08
C1,1,1,c1ccccc1O,6.2
C1,1,1,CSC,4.17
C1,1,1,CSC,4.17
C1,1,1,c1ccccc1N,6.31
C1,1,1,c1ccccc1N,6.31
C1,1,1,CN,3.81
C1,1,1,CN,3.81
C1,1,1,CC(=O)C,4.32
C1,1,1,CC(=O)C,4.32
C1,1,1,CC(=O)C,4.32
C1,1,1,CC(=O)C,4.32
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,CCC,4.46
C1,1,1,CCC,4.46
C1,1,1,CC(=O)OC,4.46
C1,1,1,CO,3.58
C1,1,1,CO,3.58
C1,1,1,CO,3.58
C1,1,1,CC=C,4.17
C1,1,1,CC=C,4.17
C1,1,1,CC=C,4.17
C1,1,1,CC=C,4.17
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(C)N,4.7
C1,1,1,CC(C)N,4.7
C1,1,1,CC(C)N,4.7
C1,1,1,CCCC,4.81
C1,1,1,CCCC,4.81
C1,1,1,CCCC,4.81
Cs,2,1,c1ccccc1,6.08
Cs,2,1,c1ccccc1,6.08
Cs,2,1,c1ccccc1,6.08
Cs,2,1,c1ccccc1,6.08
C1,1,1,CCC=O,4.32
C1,1,1,CCC=O,4.32
C1,1,1,CCC=O,4.32
C1,1,1,CCC=O,4.32
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,CCCO,4.58
C1,1,1,c1ccccc1C,6.41
C1,1,1,c1ccccc1C,6.41
C1,1,1,c1ccccc1C,6.41
C1,1,1,CC,4.0
C1,1,1,CC,4.0
C1,1,1,CC,4.0
C1,1,1,CC,4.0
C1,1,1,C=CC,4.17
C1,1,1,c1ccccc1N,6.31
C1,1,1,c1ccccc1N,6.31
C1,1,1,CO,3.58
C1,1,1,CO,3.58
C1,1,1,CO,3.58
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,O=C(O)c1ccccc1,6.41
C1,1,1,CCO,4.17
C1,1,1,CCO,4.17
C1,1,1,CCO,4.17
C1,1,1,CCO,4.17
C1,1,1,CCO CC,4.17
C1,1,1,CCC=O,4.32
C1,1,1,CCC=O,4.32
C1,1,1,CCC=O,4.32
C1,1,1,CCC=O,4.32
C1,1,1,CCN,4.32
C1,1,1,CCN,4.32
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CC(=O)O,4.0
C1,1,1,CS,3.58
C1,1,1,CS,3.58
C1,1,1,CS,3.58
C1,1,1,CCCC,4.81
C1,1,1,CCCC,4.81
C1,1,1,CCCC,4.81
